clientName,clientEmail,type,fiction,non-fiction,bookId
Abrarm001112,abrar0023135@gmail.com,fiction,fiction,non-fiction,1
Abrar1213132,abrar132435@gmail.com,non-fiction,fiction,non-fiction,2
abrarbaiyu532,abrar232435@gmail.com,non-fiction,fiction,non-fiction,3
Abrar321m2542,abrar332435@gmail.co,fiction,fiction,non-fiction,4
Abrar4213524,abrar4324235@gmail.com,non-fiction,fiction,non-fiction,5
Abrar51235424,abrar532435@gmail.com,non-fiction,fiction,non-fiction,6
Abrar612325243,abrar632435@gmail.com,fiction,fiction,non-fiction,7
Abrar21735234,abrar732435@gmail.com,fiction,fiction,non-fiction,8
Abrar2183523,abrar832435@gmail.com,non-fiction,fiction,non-fiction,9
Abrar2193524,2BFSBAIF@GMAIL.COM,fiction,fiction,non-fiction,10
